time(s),Temp (K)
0,500
0.5,558.7785252
1,595.1056516
1.5,595.1056516
2,558.7785252
2.5,500
3,441.2214748
3.5,404.8943484
4,404.8943484
4.5,441.2214748
5,500
5.5,558.7785252
6,595.1056516
6.5,595.1056516
7,558.7785252
7.5,500
8,441.2214748
8.5,404.8943484
9,404.8943484
9.5,441.2214748
10,500
10.5,558.7785252
11,595.1056516
11.5,595.1056516
12,558.7785252
12.5,500
13,441.2214748
13.5,404.8943484
14,404.8943484
14.5,441.2214748
15,500
15.5,558.7785252
16,595.1056516
16.5,595.1056516
17,558.7785252
17.5,500
18,441.2214748
18.5,404.8943484
19,404.8943484
19.5,441.2214748
20,500
20.5,558.7785252
21,595.1056516
21.5,595.1056516
22,558.7785252
22.5,500
23,441.2214748
23.5,404.8943484
24,404.8943484
24.5,441.2214748
25,500
25.5,558.7785252
26,595.1056516
26.5,595.1056516
27,558.7785252
27.5,500
28,441.2214748
28.5,404.8943484
29,404.8943484
29.5,441.2214748
30,500
30.5,558.7785252
31,595.1056516
31.5,595.1056516
32,558.7785252
32.5,500
33,441.2214748
33.5,404.8943484
34,404.8943484
34.5,441.2214748
35,500
35.5,558.7785252
36,595.1056516
36.5,595.1056516
37,558.7785252
37.5,500
38,441.2214748
38.5,404.8943484
39,404.8943484
39.5,441.2214748
40,500
40.5,558.7785252
41,595.1056516
41.5,595.1056516
42,558.7785252
42.5,500
43,441.2214748
43.5,404.8943484
44,404.8943484
44.5,441.2214748
45,500
45.5,558.7785252
46,595.1056516
46.5,595.1056516
47,558.7785252
47.5,500
48,441.2214748
48.5,404.8943484
49,404.8943484
49.5,441.2214748
50,500
50.5,558.7785252
51,595.1056516
51.5,595.1056516
52,558.7785252
52.5,500
53,441.2214748
53.5,404.8943484
54,404.8943484
54.5,441.2214748
55,500
55.5,558.7785252
56,595.1056516
56.5,595.1056516
57,558.7785252
57.5,500
58,441.2214748
58.5,404.8943484
59,404.8943484
59.5,441.2214748
60,500
60.5,558.7785252
61,595.1056516
61.5,595.1056516
62,558.7785252
62.5,500
63,441.2214748
63.5,404.8943484
64,404.8943484
64.5,441.2214748
65,500
65.5,558.7785252
66,595.1056516
66.5,595.1056516
67,558.7785252
67.5,500
68,441.2214748
68.5,404.8943484
69,404.8943484
69.5,441.2214748
70,500
70.5,558.7785252
71,595.1056516
71.5,595.1056516
72,558.7785252
72.5,500
73,441.2214748
73.5,404.8943484
74,404.8943484
74.5,441.2214748
75,500
75.5,558.7785252
76,595.1056516
76.5,595.1056516
77,558.7785252
77.5,500
78,441.2214748
78.5,404.8943484
79,404.8943484
79.5,441.2214748
80,500
80.5,558.7785252
81,595.1056516
81.5,595.1056516
82,558.7785252
82.5,500
83,441.2214748
83.5,404.8943484
84,404.8943484
84.5,441.2214748
85,500
85.5,558.7785252
86,595.1056516
86.5,595.1056516
87,558.7785252
87.5,500
88,441.2214748
88.5,404.8943484
89,404.8943484
89.5,441.2214748
90,500
90.5,558.7785252
91,595.1056516
91.5,595.1056516
92,558.7785252
92.5,500
93,441.2214748
93.5,404.8943484
94,404.8943484
94.5,441.2214748
95,500
95.5,558.7785252
96,595.1056516
96.5,595.1056516
97,558.7785252
97.5,500
98,441.2214748
98.5,404.8943484
99,404.8943484
99.5,441.2214748
100,500
100.5,558.7785252
101,595.1056516
101.5,595.1056516
102,558.7785252
102.5,500
103,441.2214748
103.5,404.8943484
104,404.8943484
104.5,441.2214748
105,500
105.5,558.7785252
106,595.1056516
106.5,595.1056516
107,558.7785252
107.5,500
108,441.2214748
108.5,404.8943484
109,404.8943484
109.5,441.2214748
110,500
110.5,558.7785252
111,595.1056516
111.5,595.1056516
112,558.7785252
112.5,500
113,441.2214748
113.5,404.8943484
114,404.8943484
114.5,441.2214748
115,500
115.5,558.7785252
116,595.1056516
116.5,595.1056516
117,558.7785252
117.5,500
118,441.2214748
118.5,404.8943484
119,404.8943484
119.5,441.2214748
120,500
120.5,558.7785252
121,595.1056516
121.5,595.1056516
122,558.7785252
122.5,500
123,441.2214748
123.5,404.8943484
124,404.8943484
124.5,441.2214748
125,500
125.5,558.7785252
126,595.1056516
126.5,595.1056516
127,558.7785252
127.5,500
128,441.2214748
128.5,404.8943484
129,404.8943484
129.5,441.2214748
130,500
130.5,558.7785252
131,595.1056516
131.5,595.1056516
132,558.7785252
132.5,500
133,441.2214748
133.5,404.8943484
134,404.8943484
134.5,441.2214748
135,500
135.5,558.7785252
136,595.1056516
136.5,595.1056516
137,558.7785252
137.5,500
138,441.2214748
138.5,404.8943484
139,404.8943484
139.5,441.2214748
140,500
140.5,558.7785252
141,595.1056516
141.5,595.1056516
142,558.7785252
142.5,500
143,441.2214748
143.5,404.8943484
144,404.8943484
144.5,441.2214748
145,500
145.5,558.7785252
146,595.1056516
146.5,595.1056516
147,558.7785252
147.5,500
148,441.2214748
148.5,404.8943484
149,404.8943484
149.5,441.2214748
150,500
150.5,558.7785252
151,595.1056516
151.5,595.1056516
152,558.7785252
152.5,500
153,441.2214748
153.5,404.8943484
154,404.8943484
154.5,441.2214748
155,500
155.5,558.7785252
156,595.1056516
156.5,595.1056516
157,558.7785252
157.5,500
158,441.2214748
158.5,404.8943484
159,404.8943484
159.5,441.2214748
160,500
160.5,558.7785252
161,595.1056516
161.5,595.1056516
162,558.7785252
162.5,500
163,441.2214748
163.5,404.8943484
164,404.8943484
164.5,441.2214748
165,500
165.5,558.7785252
166,595.1056516
166.5,595.1056516
167,558.7785252
167.5,500
168,441.2214748
168.5,404.8943484
169,404.8943484
169.5,441.2214748
170,500
170.5,558.7785252
171,595.1056516
171.5,595.1056516
172,558.7785252
172.5,500
173,441.2214748
173.5,404.8943484
174,404.8943484
174.5,441.2214748
175,500
175.5,558.7785252
176,595.1056516
176.5,595.1056516
177,558.7785252
177.5,500
178,441.2214748
178.5,404.8943484
179,404.8943484
179.5,441.2214748
180,500
180.5,558.7785252
181,595.1056516
181.5,595.1056516
182,558.7785252
182.5,500
183,441.2214748
183.5,404.8943484
184,404.8943484
184.5,441.2214748
185,500
185.5,558.7785252
186,595.1056516
186.5,595.1056516
187,558.7785252
187.5,500
188,441.2214748
188.5,404.8943484
189,404.8943484
189.5,441.2214748
190,500
190.5,558.7785252
191,595.1056516
191.5,595.1056516
192,558.7785252
192.5,500
193,441.2214748
193.5,404.8943484
194,404.8943484
194.5,441.2214748
195,500
195.5,558.7785252
196,595.1056516
196.5,595.1056516
197,558.7785252
197.5,500
198,441.2214748
198.5,404.8943484
199,404.8943484
199.5,441.2214748
200,500
200.5,558.7785252
201,595.1056516
201.5,595.1056516
202,558.7785252
202.5,500
203,441.2214748
203.5,404.8943484
204,404.8943484
204.5,441.2214748
205,500
205.5,558.7785252
206,595.1056516
206.5,595.1056516
207,558.7785252
207.5,500
208,441.2214748
208.5,404.8943484
209,404.8943484
209.5,441.2214748
210,500
210.5,558.7785252
211,595.1056516
211.5,595.1056516
212,558.7785252
212.5,500
213,441.2214748
213.5,404.8943484
214,404.8943484
214.5,441.2214748
215,500
215.5,558.7785252
216,595.1056516
216.5,595.1056516
217,558.7785252
217.5,500
218,441.2214748
218.5,404.8943484
219,404.8943484
219.5,441.2214748
220,500
220.5,558.7785252
221,595.1056516
221.5,595.1056516
222,558.7785252
222.5,500
223,441.2214748
223.5,404.8943484
224,404.8943484
224.5,441.2214748
225,500
225.5,558.7785252
226,595.1056516
226.5,595.1056516
227,558.7785252
227.5,500
228,441.2214748
228.5,404.8943484
229,404.8943484
229.5,441.2214748
230,500
230.5,558.7785252
231,595.1056516
231.5,595.1056516
232,558.7785252
232.5,500
233,441.2214748
233.5,404.8943484
234,404.8943484
234.5,441.2214748
235,500
235.5,558.7785252
236,595.1056516
236.5,595.1056516
237,558.7785252
237.5,500
238,441.2214748
238.5,404.8943484
239,404.8943484
239.5,441.2214748
240,500
240.5,558.7785252
241,595.1056516
241.5,595.1056516
242,558.7785252
242.5,500
243,441.2214748
243.5,404.8943484
244,404.8943484
244.5,441.2214748
245,500
245.5,558.7785252
246,595.1056516
246.5,595.1056516
247,558.7785252
247.5,500
248,441.2214748
248.5,404.8943484
249,404.8943484
249.5,441.2214748
250,500
250.5,558.7785252
251,595.1056516
251.5,595.1056516
252,558.7785252
252.5,500
253,441.2214748
253.5,404.8943484
254,404.8943484
254.5,441.2214748
255,500
255.5,558.7785252
256,595.1056516
256.5,595.1056516
257,558.7785252
257.5,500
258,441.2214748
258.5,404.8943484
259,404.8943484
259.5,441.2214748
260,500
260.5,558.7785252
261,595.1056516
261.5,595.1056516
262,558.7785252
262.5,500
263,441.2214748
263.5,404.8943484
264,404.8943484
264.5,441.2214748
265,500
265.5,558.7785252
266,595.1056516
266.5,595.1056516
267,558.7785252
267.5,500
268,441.2214748
268.5,404.8943484
269,404.8943484
269.5,441.2214748
270,500
270.5,558.7785252
271,595.1056516
271.5,595.1056516
272,558.7785252
272.5,500
273,441.2214748
273.5,404.8943484
274,404.8943484
274.5,441.2214748
275,500
275.5,558.7785252
276,595.1056516
276.5,595.1056516
277,558.7785252
277.5,500
278,441.2214748
278.5,404.8943484
279,404.8943484
279.5,441.2214748
280,500
280.5,558.7785252
281,595.1056516
281.5,595.1056516
282,558.7785252
282.5,500
283,441.2214748
283.5,404.8943484
284,404.8943484
284.5,441.2214748
285,500
285.5,558.7785252
286,595.1056516
286.5,595.1056516
287,558.7785252
287.5,500
288,441.2214748
288.5,404.8943484
289,404.8943484
289.5,441.2214748
290,500
290.5,558.7785252
291,595.1056516
291.5,595.1056516
292,558.7785252
292.5,500
293,441.2214748
293.5,404.8943484
294,404.8943484
294.5,441.2214748
295,500
295.5,558.7785252
296,595.1056516
296.5,595.1056516
297,558.7785252
297.5,500
298,441.2214748
298.5,404.8943484
299,404.8943484
299.5,441.2214748
300,500
300.5,558.7785252
301,595.1056516
301.5,595.1056516
302,558.7785252
302.5,500
303,441.2214748
303.5,404.8943484
304,404.8943484
304.5,441.2214748
305,500
305.5,558.7785252
306,595.1056516
306.5,595.1056516
307,558.7785252
307.5,500
308,441.2214748
308.5,404.8943484
309,404.8943484
309.5,441.2214748
310,500
310.5,558.7785252
311,595.1056516
311.5,595.1056516
312,558.7785252
312.5,500
313,441.2214748
313.5,404.8943484
314,404.8943484
314.5,441.2214748
315,500
315.5,558.7785252
316,595.1056516
316.5,595.1056516
317,558.7785252
317.5,500
318,441.2214748
318.5,404.8943484
319,404.8943484
319.5,441.2214748
320,500
320.5,558.7785252
321,595.1056516
321.5,595.1056516
322,558.7785252
322.5,500
323,441.2214748
323.5,404.8943484
324,404.8943484
324.5,441.2214748
325,500
325.5,558.7785252
326,595.1056516
326.5,595.1056516
327,558.7785252
327.5,500
328,441.2214748
328.5,404.8943484
329,404.8943484
329.5,441.2214748
330,500
330.5,558.7785252
331,595.1056516
331.5,595.1056516
332,558.7785252
332.5,500
333,441.2214748
333.5,404.8943484
334,404.8943484
334.5,441.2214748
335,500
335.5,558.7785252
336,595.1056516
336.5,595.1056516
337,558.7785252
337.5,500
338,441.2214748
338.5,404.8943484
339,404.8943484
339.5,441.2214748
340,500
340.5,558.7785252
341,595.1056516
341.5,595.1056516
342,558.7785252
342.5,500
343,441.2214748
343.5,404.8943484
344,404.8943484
344.5,441.2214748
345,500
345.5,558.7785252
346,595.1056516
346.5,595.1056516
347,558.7785252
347.5,500
348,441.2214748
348.5,404.8943484
349,404.8943484
349.5,441.2214748
350,500
350.5,558.7785252
351,595.1056516
351.5,595.1056516
352,558.7785252
352.5,500
353,441.2214748
353.5,404.8943484
354,404.8943484
354.5,441.2214748
355,500
355.5,558.7785252
356,595.1056516
356.5,595.1056516
357,558.7785252
357.5,500
358,441.2214748
358.5,404.8943484
359,404.8943484
359.5,441.2214748
360,500
360.5,558.7785252
361,595.1056516
361.5,595.1056516
362,558.7785252
362.5,500
363,441.2214748
363.5,404.8943484
364,404.8943484
364.5,441.2214748
365,500
365.5,558.7785252
366,595.1056516
366.5,595.1056516
367,558.7785252
367.5,500
368,441.2214748
368.5,404.8943484
369,404.8943484
369.5,441.2214748
370,500
370.5,558.7785252
371,595.1056516
371.5,595.1056516
372,558.7785252
372.5,500
373,441.2214748
373.5,404.8943484
374,404.8943484
374.5,441.2214748
375,500
375.5,558.7785252
376,595.1056516
376.5,595.1056516
377,558.7785252
377.5,500
378,441.2214748
378.5,404.8943484
379,404.8943484
379.5,441.2214748
380,500
380.5,558.7785252
381,595.1056516
381.5,595.1056516
382,558.7785252
382.5,500
383,441.2214748
383.5,404.8943484
384,404.8943484
384.5,441.2214748
385,500
385.5,558.7785252
386,595.1056516
386.5,595.1056516
387,558.7785252
387.5,500
388,441.2214748
388.5,404.8943484
389,404.8943484
389.5,441.2214748
390,500
390.5,558.7785252
391,595.1056516
391.5,595.1056516
392,558.7785252
392.5,500
393,441.2214748
393.5,404.8943484
394,404.8943484
394.5,441.2214748
395,500
395.5,558.7785252
396,595.1056516
396.5,595.1056516
397,558.7785252
397.5,500
398,441.2214748
398.5,404.8943484
399,404.8943484
399.5,441.2214748
400,500
